Gene_name	strand	N	mean_count	sd_count	z	pval	qval
1	SRSF1	+	335	236.8	3.83405790253616	25.6125500700035	5.52862046441291e-145	5.47333425976878e-143
2	MBNL1	+	682	429.2	14.8391374412396	17.0360306319045	2.21926423828496e-65	1.09853579795105e-63
3	YBX2	+	51	23.4	1.94935886896179	14.1585012587751	8.27429600545216e-46	2.73051768179921e-44
4	PABPC4	+	28	8.4	2.07364413533277	9.45195931454008	1.66273336547392e-21	4.11526507954795e-20
5	SRSF3	+	74	36.2	4.14728827066554	9.11438933902079	3.95573764172876e-20	7.83236053062294e-19
6	ZFP36	+	609	469.2	15.7543644746464	8.87373148088463	3.53674959650144e-19	5.83563683422738e-18
7	HNRNPL	+	632	382.4	28.2542032271306	8.83408383501417	5.04609724998936e-19	7.13662325355638e-18
8	SRSF10	+	88	39.2	5.6302753041037	8.66742696656973	2.20997486595082e-18	2.73484389661414e-17
9	RBMY1A1	+	107	56	5.95818764390649	8.55964985462623	5.66054128909092e-18	6.22659541800001e-17
10	PTBP1	+	3151	2837	40.4042077016738	7.77146782133267	3.87908947303607e-15	3.84029857830571e-14
11	PABPC1	+	118	73.4	7.02139587261678	6.35201330463912	1.06257468845449e-10	9.5631721960904e-10
12	FUS	+	140	63.2	13.2551876637036	5.79395795431096	3.43733381200064e-09	2.83580039490053e-08
13	PABPN1	+	50	23.4	5.81377674149945	4.57533909242265	2.37724635754616e-06	1.78409825810368e-05
14	SART3	+	49	25.6	5.12835256198323	4.56286881940714	2.52296723368197e-06	1.78409825810368e-05
15	PABPC3	+	34	19.8	3.56370593624109	3.98461608619083	3.37946548315116e-05	0.000223044721887977
16	YBX1	+	204	161.8	12.9112354172635	3.26847111342844	0.000540651072632184	0.00334527851191164
17	ZNF638	+	27	11.6	4.9295030175465	3.12404717984428	0.000891909258498735	0.00519405979949263
